src_id	src_name	src_mfn	src_file	src_line	dst_id	dst_name	dst_mfn	dst_file	dst_line
30064771142	trim	child_process:execFileSync:<returnValue>:toString:<returnValue>:trim	install.js	120	30064771141	<operator>.addition	<operator>.addition	install.js	120
30064771145	toString	child_process:execFileSync:<returnValue>:toString	install.js	120	30064771144	<operator>.assignment	<operator>.assignment	install.js	120
30064771148	execFileSync	child_process:execFileSync	install.js	120	30064771147	<operator>.assignment	<operator>.assignment	install.js	120
30064771151	__ecma.Array.factory	__ecma.Array.factory	install.js	120	30064771150	<operator>.assignment	<operator>.assignment	install.js	120
30064771156	<operator>.alloc	<operator>.alloc	install.js	123	30064771155	<operator>.assignment	<operator>.assignment	install.js	123
30064771158	<operator>.formatString	<operator>.formatString	install.js	123	30064771157	<operator>.new	<unknownFullName>	install.js	123
30064771163	<operator>.alloc	<operator>.alloc	install.js	136	30064771162	<operator>.assignment	<operator>.assignment	install.js	136
30064771165	<operator>.formatString	<operator>.formatString	install.js	136	30064771164	<operator>.new	<unknownFullName>	install.js	136
30064771169	<operator>.fieldAccess	<operator>.fieldAccess	install.js	140	30064771168	<operator>.assignment	<operator>.assignment	install.js	140
30064771171	<operator>.fieldAccess	<operator>.fieldAccess	install.js	140	30064771170	<operator>.assignment	<operator>.assignment	install.js	140
30064771178	concat	<unknownFullName>	install.js	155	30064771177	resolve	install.js::program:resolve	install.js	155
30064771181	<operator>.logicalOr	<operator>.logicalOr	install.js	149	30064771180	<operator>.logicalAnd	<operator>.logicalAnd	install.js	149
30064771182	<operator>.equals	<operator>.equals	install.js	149	30064771181	<operator>.logicalOr	<operator>.logicalOr	install.js	149
30064771184	<operator>.equals	<operator>.equals	install.js	149	30064771181	<operator>.logicalOr	<operator>.logicalOr	install.js	149
30064771186	<operator>.fieldAccess	<operator>.fieldAccess	install.js	149	30064771180	<operator>.logicalAnd	<operator>.logicalAnd	install.js	149
30064771191	fetch	fetch	install.js	150	30064771190	<operator>.assignment	<operator>.assignment	install.js	150
30064771192	<operator>.fieldAccess	<operator>.fieldAccess	install.js	150	30064771191	fetch	fetch	install.js	150
30064771198	<operator>.alloc	<operator>.alloc	install.js	152	30064771197	<operator>.assignment	<operator>.assignment	install.js	152
30064771200	<operator>.formatString	<operator>.formatString	install.js	152	30064771199	<operator>.new	<unknownFullName>	install.js	152
30064771203	__ecma.Array.factory	__ecma.Array.factory	install.js	153	30064771202	<operator>.assignment	<operator>.assignment	install.js	153
30064771211	get	https:get	install.js	148	30064771210	<operator>.assignment	<operator>.assignment	install.js	148
30064771214	<operator>.alloc	<operator>.alloc	install.js	147	30064771213	<operator>.assignment	<operator>.assignment	install.js	147
30064771219	fromCharCode	StringConstructor:fromCharCode	install.js	165	30064771218	<operator>.assignment	<operator>.assignment	install.js	165
30064771221	<operator>.spread	<operator>.spread	install.js	165	30064771219	fromCharCode	StringConstructor:fromCharCode	install.js	165
30064771222	subarray	zlib:unzipSync:<returnValue>:subarray	install.js	165	30064771221	<operator>.spread	<operator>.spread	install.js	165
30064771224	<operator>.addition	<operator>.addition	install.js	165	30064771222	subarray	zlib:unzipSync:<returnValue>:subarray	install.js	165
